Date,State,Confirmed,Deceased,Recovered
14-03-2020,Kerala,19,0,3
15-03-2020,Kerala,5,0,0
16-03-2020,Kerala,3,0,0
17-03-2020,Kerala,0,0,0
18-03-2020,Kerala,0,0,0
19-03-2020,Kerala,1,0,0
20-03-2020,Kerala,12,0,0
21-03-2020,Kerala,12,0,0
22-03-2020,Kerala,15,0,0
23-03-2020,Kerala,28,0,0
24-03-2020,Kerala,14,0,1
25-03-2020,Kerala,9,0,0
26-03-2020,Kerala,19,0,7
27-03-2020,Kerala,39,0,0
28-03-2020,Kerala,6,1,1
29-03-2020,Kerala,20,0,4
30-03-2020,Kerala,32,0,4
31-03-2020,Kerala,7,1,4
01-04-2020,Kerala,24,0,2
02-04-2020,Kerala,21,0,2
03-04-2020,Kerala,9,0,14
04-04-2020,Kerala,11,0,8
05-04-2020,Kerala,8,0,6
06-04-2020,Kerala,13,0,3
07-04-2020,Kerala,9,0,12
08-04-2020,Kerala,9,0,13
09-04-2020,Kerala,12,0,13
10-04-2020,Kerala,7,0,27
11-04-2020,Kerala,10,1,19
12-04-2020,Kerala,2,0,36
13-04-2020,Kerala,3,0,19
14-04-2020,Kerala,8,0,13
15-04-2020,Kerala,1,0,7
16-04-2020,Kerala,7,0,27
17-04-2020,Kerala,1,0,10
18-04-2020,Kerala,4,0,2
19-04-2020,Kerala,2,0,13
20-04-2020,Kerala,6,0,21
21-04-2020,Kerala,19,0,16
22-04-2020,Kerala,11,0,1
23-04-2020,Kerala,10,0,8
24-04-2020,Kerala,3,1,15
25-04-2020,Kerala,7,0,7
26-04-2020,Kerala,11,0,4
27-04-2020,Kerala,13,0,13
28-04-2020,Kerala,4,0,4
29-04-2020,Kerala,10,0,10
30-04-2020,Kerala,2,0,14
01-05-2020,Kerala,0,0,9
02-05-2020,Kerala,2,0,8
03-05-2020,Kerala,0,0,1
04-05-2020,Kerala,0,0,61
05-05-2020,Kerala,3,0,0
06-05-2020,Kerala,0,0,7
07-05-2020,Kerala,0,0,5
08-05-2020,Kerala,1,0,10
09-05-2020,Kerala,2,0,1
10-05-2020,Kerala,7,0,4
11-05-2020,Kerala,7,0,0
12-05-2020,Kerala,5,0,0
13-05-2020,Kerala,10,0,1
14-05-2020,Kerala,26,0,3
15-05-2020,Kerala,16,0,0
16-05-2020,Kerala,11,0,4
17-05-2020,Kerala,14,0,0
18-05-2020,Kerala,29,0,0
19-05-2020,Kerala,12,0,0
20-05-2020,Kerala,24,0,5
21-05-2020,Kerala,24,0,8
22-05-2020,Kerala,42,1,2
23-05-2020,Kerala,62,0,3
24-05-2020,Kerala,53,1,5
25-05-2020,Kerala,49,0,12
26-05-2020,Kerala,67,1,10
27-05-2020,Kerala,40,0,10
28-05-2020,Kerala,85,1,3
29-05-2020,Kerala,62,1,10
30-05-2020,Kerala,58,1,10
31-05-2020,Kerala,61,0,15
01-06-2020,Kerala,57,1,18
02-06-2020,Kerala,86,1,19
03-06-2020,Kerala,82,0,24
04-06-2020,Kerala,94,3,39
05-06-2020,Kerala,111,0,22
06-06-2020,Kerala,108,1,50
07-06-2020,Kerala,107,0,41
08-06-2020,Kerala,91,1,11
09-06-2020,Kerala,91,0,34
10-06-2020,Kerala,65,1,57
11-06-2020,Kerala,83,1,62
12-06-2020,Kerala,78,1,32
13-06-2020,Kerala,85,0,46
14-06-2020,Kerala,54,0,56
15-06-2020,Kerala,82,1,73
16-06-2020,Kerala,79,0,60
17-06-2020,Kerala,75,0,90
18-06-2020,Kerala,97,1,89
19-06-2020,Kerala,118,0,96
20-06-2020,Kerala,127,0,57
21-06-2020,Kerala,133,0,93
22-06-2020,Kerala,138,0,88
23-06-2020,Kerala,141,1,60
24-06-2020,Kerala,152,0,81
25-06-2020,Kerala,123,0,53
26-06-2020,Kerala,150,0,65
27-06-2020,Kerala,195,0,102
28-06-2020,Kerala,118,0,42
29-06-2020,Kerala,122,1,79
30-06-2020,Kerala,131,1,75
01-07-2020,Kerala,151,1,132
02-07-2020,Kerala,160,0,202
03-07-2020,Kerala,211,0,201
04-07-2020,Kerala,240,0,209
05-07-2020,Kerala,225,0,126
06-07-2020,Kerala,193,2,167
07-07-2020,Kerala,272,0,111
08-07-2020,Kerala,301,0,107
09-07-2020,Kerala,339,0,149
10-07-2020,Kerala,416,0,112
11-07-2020,Kerala,488,2,143
12-07-2020,Kerala,435,2,132
13-07-2020,Kerala,449,2,162
14-07-2020,Kerala,608,1,181
15-07-2020,Kerala,623,1,196
16-07-2020,Kerala,722,2,228
17-07-2020,Kerala,791,1,132
18-07-2020,Kerala,593,2,204
19-07-2020,Kerala,821,2,172
20-07-2020,Kerala,794,1,245
