Date,State,Confirmed,Deceased,Recovered
01-06-20,Delhi,990,50,268
02-06-20,Delhi,1298,33,497
03-06-20,Delhi,1513,59,299
04-06-20,Delhi,1359,44,356
05-06-20,Delhi,1330,49,417
06-06-20,Delhi,1320,53,349
07-06-20,Delhi,1282,51,335
08-06-20,Delhi,1007,62,358
09-06-20,Delhi,1366,31,504
10-06-20,Delhi,1501,79,384
11-06-20,Delhi,1877,101,486
12-06-20,Delhi,2137,129,667
13-06-20,Delhi,2134,57,1547
14-06-20,Delhi,2224,56,878
15-06-20,Delhi,1647,73,604
16-06-20,Delhi,1859,437,73
17-06-20,Delhi,2414,67,957
18-06-20,Delhi,2877,65,3884
19-06-20,Delhi,3137,66,2228
20-06-20,Delhi,3630,77,7725
21-06-20,Delhi,3000,63,1719
22-06-20,Delhi,2909,58,3589
23-06-20,Delhi,3947,68,2711
24-06-20,Delhi,3788,64,2124
25-06-20,Delhi,3390,64,3328
26-06-20,Delhi,3460,63,2326
27-06-20,Delhi,2948,66,2210
28-06-20,Delhi,2889,65,3306
29-06-20,Delhi,2084,57,3628
30-06-20,Delhi,2199,62,2113
01-07-20,Delhi,2442,61,1644
02-07-20,Delhi,2373,61,3015
03-07-20,Delhi,2520,59,2617
04-07-20,Delhi,2505,81,2632
05-07-20,Delhi,2244,63,3083
06-07-20,Delhi,1379,48,749
07-07-20,Delhi,2008,50,2129
08-07-20,Delhi,2033,48,3982
09-07-20,Delhi,2187,45,4027
10-07-20,Delhi,2089,42,2468
11-07-20,Delhi,1781,34,2998
12-07-20,Delhi,1573,37,2276
13-07-20,Delhi,1246,40,1344
14-07-20,Delhi,1606,35,1924
15-07-20,Delhi,1647,41,2463
16-07-20,Delhi,1652,58,1994
17-07-20,Delhi,1462,26,1608
18-07-20,Delhi,1475,26,1973
19-07-20,Delhi,1211,31,1860
20-07-20,Delhi,954,35,1784
