State/UTs,Confirmed,Active,Recovered,Deceased,Total Population
Andaman and Nicobar,324,142,182,0,380581
Andhra Pradesh,96298,48956,46301,1041,49577103
Arunachal Pradesh,1158,650,505,3,1383727
Assam,32228,8109,24040,79,31205576
Bihar,39176,13117,25815,244,104099452
Chandigarh,887,302,572,13,1055450
Chhattisgarh,7450,2463,4944,43,25545198
Dadra and Nagar Haveli and Daman,914,362,550,2,585764
Delhi,130606,11904,114875,3827,16787941
Goa,4861,1549,3277,35,1458545
Gujarat,55822,13131,40365,2326,60439692
Haryana,31332,6556,24384,392,25351462
Himachal Pradesh,2176,966,1198,12,6864602
Jammu and Kashmir,17920,7680,9928,312,12267032
Jharkhand,8275,4486,3704,85,32988134
Karnataka,96141,58425,35838,1878,61095297
Kerala,19025,9664,9300,61,33406061
Ladakh,1285,218,1063,4,274000
Lakshadweep,0,0,0,0,64473
Madhya Pradesh,27800,7857,19132,811,72626809
Maharashtra,375799,148905,213238,13656,112374333
Manipur,2235,681,1554,0,2570390
Meghalaya,702,562,135,5,2966889
Mizoram,361,168,193,0,1097206
Nagaland,1339,786,549,4,1978502
Odisha,25389,8456,16793,140,41974219
Puducherry,2786,1101,1645,40,1247953
Punjab,13218,4102,8810,306,27743338
Rajasthan,35909,9935,25353,621,68548437
Sikkim,545,397,148,0,610577
Tamil Nadu,213723,53703,156526,3494,72147030
Telengana,54059,12264,41332,463,35003674
Tripura,3900,1526,2361,13,3673917
Uttar Pradesh,66988,23921,41641,1426,199812341
Uttarakhand,6104,2475,3566,63,10086292
West Bengal,58718,19595,37751,1372,91276115
